algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,idle_temp_c,mean_clock_mhz,time_per_call_us,idle_load_pct,active_load_pct,gpu_idle_power_w,gpu_active_power_w,power_samples,idle_samples,thermal_wait_s,load_wait_s,cpu_name
stft,transform,1024,1,fp32,87901,5.0000497000000905,12.511725293132328,1.3006878240601836,29.61137123745819,10.448091364927619,17.099645944325864,148.05832787244412,85.4990795740343,0.0009726747087522816,76.03344481605352,87.0,53.0,2278.183946488294,56.882739673042295,3.6686767169179233,5.083277591973244,593.5,593.5,299,597,14.243745803833008,3.027029514312744,Intel Core i9-14900HX
stft,transform,4096,1,fp32,67836,5.000002400000085,12.176041666666666,0.9673393627410876,29.715705128205126,14.159799207805113,17.53966346153846,148.57859695872045,87.6983594028861,0.0012927996845758314,74.91666666666667,91.0,54.0,1592.9307692307689,73.70721151011386,3.761458333333333,5.089423076923077,593.5,593.5,312,576,6.089234113693237,3.0461978912353516,Intel Core i9-14900HX
stft,transform,16384,1,fp32,36112,5.000026500000331,12.582601054481547,0.8765022258468769,28.48284789644013,13.132456777606366,15.900246841958584,142.41499427767934,79.5016555663395,0.00220153011648038,77.58899676375404,91.0,54.0,1606.180582524272,138.4588640895085,4.065202108963094,4.567961165048544,593.5,593.5,309,569,5.063815116882324,3.0576608180999756,Intel Core i9-14900HX
hilbert,transform,256,1,fp32,281685,5.000004799999715,11.949649122807017,1.0193435536628304,32.48691099476438,13.496615297527757,20.537261871957362,162.43471091098542,102.68640793863794,0.00036454340109923477,82.1151832460733,94.0,52.0,2668.0994764397906,17.75034098372194,3.0945614035087723,6.677486910994762,593.5,593.5,191,570,7.10995078086853,3.045776605606079,Intel Core i9-14900HX
hilbert,transform,1024,1,fp32,240453,5.000016400000277,12.066427289048473,0.6126467732474956,31.753333333333334,9.764678978622674,19.68690604428486,158.76718742134213,98.43485308668888,0.0004093725305431368,79.78,88.0,51.0,1915.8580000000002,20.794152703440076,3.1344703770197486,5.042666666666667,593.5,364.4773333333334,300,557,7.073108196258545,3.056962251663208,Intel Core i9-14900HX
hilbert,transform,4096,1,fp32,116899,5.000024100000246,13.225448028673835,3.9008267293011323,28.881028938906745,10.687980157242354,15.65558091023291,144.40584072733827,78.27828185066834,0.0006696231948149114,75.9967845659164,90.0,50.0,2437.5665594855304,42.77217170378058,3.2353046594982082,4.535369774919614,468.2465949820788,593.5,311,558,7.068509340286255,3.024305582046509,Intel Core i9-14900HX
hilbert,transform,16384,1,fp32,34783,5.00004059999992,11.67981308411215,0.8083466237499058,28.19347826086956,13.082368807520565,16.513665176757414,140.96853595956296,82.56899633859193,0.002373831939125203,71.85403726708074,91.0,50.0,1894.095652173913,143.74955006755943,3.148411214953271,4.749068322981366,593.5,593.5,322,535,6.1157450675964355,3.087385654449463,Intel Core i9-14900HX
fir_direct,filter,256,1,fp32,1171985,5.0000027000000955,15.989012738853502,1.7763638287431498,31.05184049079755,10.583273916734967,15.062827751944047,155.25928629396003,75.3141794293566,6.426206771362825e-05,75.88650306748467,85.0,51.0,2787.4987730061353,4.266268510262585,7.768789808917196,8.493558282208587,593.5,593.5,326,628,63.55464482307434,3.028465986251831,Intel Core i9-14900HX
fir_direct,filter,1024,1,fp32,471335,5.000000999999884,13.256464811783959,0.8743872897971722,27.017159763313607,8.992492015182151,13.760694951529649,135.08582583372467,68.8034885183416,0.00014597576780494043,81.02366863905326,95.0,53.0,2156.252662721894,10.608168287947816,6.6883797054009815,5.867455621301776,593.5,593.5,338,611,7.083331346511841,3.0515666007995605,Intel Core i9-14900HX
fir_direct,filter,4096,1,fp32,141818,5.000648299999739,12.73731884057971,1.1881596046688223,28.33449367088608,13.107601671513896,15.597174830306368,141.69083760666985,77.99598579997026,0.0005499723998362003,71.54430379746836,87.0,54.0,2071.9025316455695,35.261026809006886,4.513768115942028,5.981962025316455,593.5,593.5,316,552,6.061005592346191,3.0434398651123047,Intel Core i9-14900HX
fir_direct,filter,16384,1,fp32,37522,5.000068199999987,12.249107142857143,0.7788035163581615,26.411428571428566,11.385699587730253,14.162321428571422,132.05894411657107,70.81257301317835,0.0018872281065289258,78.57777777777778,90.0,54.0,2535.506666666667,133.2569745749157,3.1705357142857142,4.362857142857142,593.5,593.5,315,560,7.078252077102661,3.042095899581909,Intel Core i9-14900HX
fir_fft,filter,256,1,fp32,165073,5.000016500000129,11.866608391608391,1.140399436432207,29.5043321299639,12.433478562931946,17.637723738355508,147.52214747130344,88.1889097142215,0.0005342418791336045,74.31046931407943,82.0,53.0,1994.9848375451265,30.28972939245139,2.8776223776223775,4.135379061371842,593.5,593.5,277,572,9.116005182266235,3.057262897491455,Intel Core i9-14900HX
fir_fft,filter,1024,1,fp32,134717,5.000011299999642,11.881001727115718,0.9164689870050678,31.488253968253964,13.782467185278472,19.607252241138248,157.44162565852838,98.03648276763454,0.000727721688930384,73.5904761904762,87.0,51.0,2127.6133333333332,37.1149246197558,3.1785837651122626,5.692380952380952,593.5,593.5,315,579,7.067566871643066,3.0232808589935303,Intel Core i9-14900HX
fir_fft,filter,4096,1,fp32,79746,5.000024399999802,12.610102739726026,0.9634327839401023,28.0,9.295843071647585,15.389897260273974,140.00068319999446,76.94986181485997,0.0009649369474940432,79.6952380952381,91.0,51.0,2548.746666666667,62.69937551726484,4.445719178082191,4.585714285714286,593.5,593.5,315,584,7.111901044845581,3.0352063179016113,Intel Core i9-14900HX
fir_fft,filter,16384,1,fp32,25771,5.000126899999941,12.084229390681003,1.1127488796865692,27.472812500000003,12.942166244096995,15.388583109319,137.36754879990465,76.94486835779067,0.002985715275223727,71.684375,87.0,50.0,1974.7875,194.02145434790816,2.9639784946236563,4.51125,593.5,593.5,320,558,23.319121599197388,3.0155646800994873,Intel Core i9-14900HX
iir_butter4,filter,256,1,fp32,298313,5.0000151000003825,11.611070780399274,0.8544985774982763,28.75846153846154,14.20169970659192,17.147390758062265,143.79274194508793,85.73721271591833,0.000287406893819305,69.78461538461538,87.0,50.0,1928.316923076923,16.76096951859417,2.9014519056261343,4.119999999999999,593.5,593.5,65,551,5.062147855758667,3.0749449729919434,Intel Core i9-14900HX
iir_butter4,filter,1024,1,fp32,297221,5.0000129999998535,11.965647482014388,0.5661841651129027,28.78885135135135,11.121134799162666,16.823203869336965,143.9446310118201,84.11623804833266,0.00028300906748962107,78.5945945945946,88.0,49.0,2336.207432432433,16.822542821670922,3.599640287769784,4.424999999999999,593.5,593.5,296,556,9.147216081619263,3.0459578037261963,Intel Core i9-14900HX
iir_butter4,filter,4096,1,fp32,180709,5.000021899999865,12.06488812392427,0.741566140221946,26.659589041095888,12.35068119006033,14.594700917171618,133.29852905047585,72.97382420980621,0.00040381953422245824,69.65753424657534,93.0,50.0,1653.548630136986,27.66891466390642,2.9349397590361446,5.361643835616438,593.5,593.5,292,581,10.09450387954712,3.050104856491089,Intel Core i9-14900HX
