algorithm,category,N,B,variant,gpus,repeat_idx,n_kernels,n_memcpy,n_memset,n_cuda_events,model_seq_steps,model_fused_steps,outer_iters,kpi_table,kpi_census,ratio_census_over_model,wall_ms,top_kernels
nmf,decomposition,1024,1,default,A100 SXM4+RTX 4090,0,756,0,0,756,700,0,50,14,15.120,1.0800,4968.67,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x ampere_sgemm_32x32_sliced1x4_nn"
nmf,decomposition,1024,1,default,A100 SXM4+RTX 4090,1,756,0,0,756,700,0,50,14,15.120,1.0800,4975.37,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x ampere_sgemm_32x32_sliced1x4_nn"
pca,decomposition,256,1,default,A100 SXM4+RTX 4090,0,166,11,3,180,0,0,0,0,,,4848.95,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
pca,decomposition,256,1,default,A100 SXM4+RTX 4090,1,166,11,3,180,0,0,0,0,,,4840.58,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
pca,decomposition,512,1,default,A100 SXM4+RTX 4090,0,166,11,3,180,0,0,0,0,,,4843.33,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
pca,decomposition,512,1,default,A100 SXM4+RTX 4090,1,166,11,3,180,0,0,0,0,,,5063.55,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
pca,decomposition,1024,1,default,A100 SXM4+RTX 4090,0,166,11,3,180,0,0,0,0,,,4818.47,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
pca,decomposition,1024,1,default,A100 SXM4+RTX 4090,1,166,11,3,180,0,0,0,0,,,4977.66,"19x copy_info_kernel(int, int *) | 12x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 11x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 8x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 8x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 8x void batch_eye_kernel<float, (int)5, (int)3>(long long, long | 6x void at::native::elementwise_kernel<(int)128, (int)2, void a"
ekf,estimation,256,1,default,A100 SXM4+RTX 4090,0,7803,601,200,8604,4400,0,200,22,39.015,1.7734,5278.66,"1300x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 402x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ"
ekf,estimation,1024,1,default,A100 SXM4+RTX 4090,0,7803,601,200,8604,4400,0,200,22,39.015,1.7734,4945.46,"1300x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 402x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ"
ekf,estimation,4096,1,default,A100 SXM4+RTX 4090,0,7803,601,200,8604,4400,0,200,22,39.015,1.7734,5268.15,"1300x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 402x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ"
ekf,estimation,16384,1,default,A100 SXM4+RTX 4090,0,7803,601,200,8604,4400,0,200,22,39.015,1.7734,5177.83,"1300x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 402x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ"
kalman,estimation,256,1,default,A100 SXM4+RTX 4090,0,6203,601,200,7004,3000,0,200,15,31.015,2.0677,5027.96,"900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 202x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::elementwise_kernel<(int)128, (int)2, void a"
kalman,estimation,1024,1,default,A100 SXM4+RTX 4090,0,6203,601,200,7004,3000,0,200,15,31.015,2.0677,5120.42,"900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 202x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::elementwise_kernel<(int)128, (int)2, void a"
kalman,estimation,4096,1,default,A100 SXM4+RTX 4090,0,6203,601,200,7004,3000,0,200,15,31.015,2.0677,4996.70,"900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 202x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::elementwise_kernel<(int)128, (int)2, void a"
kalman,estimation,16384,1,default,A100 SXM4+RTX 4090,0,6203,601,200,7004,3000,0,200,15,31.015,2.0677,5001.62,"900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 600x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 600x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 400x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 400x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 400x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 202x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::elementwise_kernel<(int)128, (int)2, void a"
particle_1k,estimation,256,1,default,A100 SXM4+RTX 4090,0,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4853.20,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,256,1,default,A100 SXM4+RTX 4090,1,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4803.73,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,1024,1,default,A100 SXM4+RTX 4090,0,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4849.98,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,1024,1,default,A100 SXM4+RTX 4090,1,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4974.26,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,4096,1,default,A100 SXM4+RTX 4090,0,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4884.57,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,4096,1,default,A100 SXM4+RTX 4090,1,4203,0,0,4203,4000,0,200,20,21.015,1.0508,5128.60,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,16384,1,default,A100 SXM4+RTX 4090,0,4203,0,0,4203,4000,0,200,20,21.015,1.0508,4866.43,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
particle_1k,estimation,16384,1,default,A100 SXM4+RTX 4090,1,4203,0,0,4203,4000,0,200,20,21.015,1.0508,5036.31,"600x void at::native::elementwise_kernel<(int)128, (int)2, void a | 400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 201x void at::native::<unnamed>::distribution_elementwise_grid_st | 201x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::<unnamed>::searchsorted_cuda_kernel<float,  | 200x void at::native::_scatter_gather_elementwise_kernel<(int)128"
ukf,estimation,256,1,default,A100 SXM4+RTX 4090,0,5406,1101,200,6707,4300,0,100,43,54.060,1.2572,5024.21,"1900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1301x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 900x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (b | 300x void at::native::elementwise_kernel<(int)128, (int)2, void a | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128,  | 100x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 100x void at::native::triu_tril_kernel<float, int, (bool)0, (int)"
ukf,estimation,1024,1,default,A100 SXM4+RTX 4090,0,5406,1101,200,6707,4300,0,100,43,54.060,1.2572,5180.47,"1900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1301x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 900x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (b | 300x void at::native::elementwise_kernel<(int)128, (int)2, void a | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128,  | 100x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 100x void at::native::triu_tril_kernel<float, int, (bool)0, (int)"
ukf,estimation,4096,1,default,A100 SXM4+RTX 4090,0,5406,1101,200,6707,4300,0,100,43,54.060,1.2572,4974.16,"1900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1301x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 900x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (b | 300x void at::native::elementwise_kernel<(int)128, (int)2, void a | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128,  | 100x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 100x void at::native::triu_tril_kernel<float, int, (bool)0, (int)"
ukf,estimation,16384,1,default,A100 SXM4+RTX 4090,0,5406,1101,200,6707,4300,0,100,43,54.060,1.2572,5159.53,"1900x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1301x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 900x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (b | 300x void at::native::elementwise_kernel<(int)128, (int)2, void a | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128,  | 100x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 100x void at::native::triu_tril_kernel<float, int, (bool)0, (int)"
filterbank_32ch,filter,256,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4811.45,"1x void implicit_convolve_sgemm<float, float, (int)1024, (int)5"
filterbank_32ch,filter,1024,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,5174.07,"1x void implicit_convolve_sgemm<float, float, (int)1024, (int)5"
filterbank_32ch,filter,4096,512,default,A100 SXM4,0,1,0,0,1,0,0,0,0,,,5090.13,"1x void implicit_convolve_sgemm<float, float, (int)1024, (int)5"
filterbank_32ch,filter,4096,1024,default,RTX 4090,0,1,0,0,1,0,0,0,0,,,4911.40,"1x void implicit_convolve_sgemm<float, float, (int)1024, (int)5"
filterbank_32ch,filter,16384,128,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4904.50,"1x void implicit_convolve_sgemm<float, float, (int)1024, (int)5"
fir_direct,filter,256,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4919.88,"1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool"
fir_direct,filter,1024,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4726.46,"1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool"
fir_direct,filter,4096,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4823.32,"1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool"
fir_direct,filter,16384,2048,default,A100 SXM4+RTX 4090,0,1,0,0,1,0,0,0,0,,,4870.68,"1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool"
fir_fft,filter,256,2048,default,A100 SXM4+RTX 4090,0,7,0,0,7,0,0,0,0,,,4832.60,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void vector_fft<(unsigned int)512, EPT<(unsigned int)8>, (un | 1x void regular_fft_r2c<(unsigned int)512, EPT<(unsigned int)8> | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
fir_fft,filter,1024,2048,default,A100 SXM4+RTX 4090,0,7,0,0,7,0,0,0,0,,,4666.38,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void vector_fft<(unsigned int)2048, EPT<(unsigned int)16>, ( | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void regular_fft_r2c<(unsigned int)2048, EPT<(unsigned int)1 | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
fir_fft,filter,4096,1024,default,RTX 4090,0,7,0,0,7,0,0,0,0,,,4854.66,"1x void vector_fft<(unsigned int)8192, EPT<(unsigned int)32>, ( | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void regular_fft_r2c<(unsigned int)8192, EPT<(unsigned int)1 | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
fir_fft,filter,4096,2048,default,A100 SXM4,0,7,0,0,7,0,0,0,0,,,5003.59,"1x void vector_fft<(unsigned int)8192, EPT<(unsigned int)32>, ( | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void regular_fft_r2c<(unsigned int)8192, EPT<(unsigned int)1 | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
fir_fft,filter,16384,256,default,RTX 4090,0,9,0,0,9,0,0,0,0,,,4861.91,"1x void regular_fft_factor<(unsigned int)256, EPT<(unsigned int | 1x void regular_fft_factor<(unsigned int)128, EPT<(unsigned int | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void vector_fft<(unsigned int)16384, EPT<(unsigned int)16>,  | 1x void postprocess_kernel<float, unsigned int, (loadstore_modi | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a"
fir_fft,filter,16384,512,default,A100 SXM4,0,9,0,0,9,0,0,0,0,,,4986.16,"1x void regular_fft_factor<(unsigned int)128, EPT<(unsigned int | 1x void regular_fft_factor<(unsigned int)256, EPT<(unsigned int | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void postprocess_kernel<float, unsigned int, (loadstore_modi | 1x void vector_fft<(unsigned int)16384, EPT<(unsigned int)16>,  | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a"
iir_butter4,filter,1024,1,fallback,A100 SXM4,0,17411,5120,0,22531,5120,0,1024,5,17.003,3.4006,5696.20,"5632x void at::native::unrolled_elementwise_kernel<at::native::Bin | 5120x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 2048x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 2048x void at::native::unrolled_elementwise_kernel<at::native::CUD | 1536x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1024x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
iir_butter4,filter,1024,2,fallback,A100 SXM4,0,22531,0,0,22531,10240,0,2048,5,11.001,2.2003,5466.90,"9216x void at::native::elementwise_kernel<(int)128, (int)2, void a | 5120x void at::native::elementwise_kernel<(int)128, (int)2, void a | 4096x void at::native::elementwise_kernel<(int)128, (int)2, void a | 4096x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
iir_butter4,filter,4096,1,fallback,A100 SXM4,0,69635,20480,0,90115,20480,0,4096,5,17.001,3.4001,7583.14,"22528x void at::native::unrolled_elementwise_kernel<at::native::Bin | 20480x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 8192x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 8192x void at::native::unrolled_elementwise_kernel<at::native::CUD | 6144x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 4096x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
iir_butter4,filter,4096,2,fallback,A100 SXM4,0,90115,0,0,90115,40960,0,8192,5,11.000,2.2001,7614.45,"36864x void at::native::elementwise_kernel<(int)128, (int)2, void a | 20480x void at::native::elementwise_kernel<(int)128, (int)2, void a | 16384x void at::native::elementwise_kernel<(int)128, (int)2, void a | 16384x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
iir_butter4,filter,16384,1,fallback,A100 SXM4,0,274647,80778,0,355425,81920,0,16384,5,16.763,3.3526,14521.65,"88855x void at::native::unrolled_elementwise_kernel<at::native::Bin | 80777x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 32311x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 32311x void at::native::unrolled_elementwise_kernel<at::native::CUD | 24234x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 16156x void at::native::vectorized_elementwise_kernel<(int)2, at::n | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
iir_butter4,filter,1024,2,torchaudio,RTX 4090,0,9,0,0,9,0,0,0,0,,,4959.18,"2x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 2x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void iir_cu_kernel<float>(at::GenericPackedTensorAccessor<T1 | 1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a"
iir_butter4,filter,4096,2,torchaudio,RTX 4090,0,9,0,0,9,0,0,0,0,,,5070.46,"2x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 2x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void iir_cu_kernel<float>(at::GenericPackedTensorAccessor<T1 | 1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a"
iir_butter4,filter,16384,1,torchaudio,RTX 4090,0,8,1,0,9,0,0,0,0,,,4747.33,"2x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 2x void at::native::elementwise_kernel<(int)128, (int)2, void a | 2x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void iir_cu_kernel<float>(at::GenericPackedTensorAccessor<T1 | 1x void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool"
