algorithm,category,N,B,variant,gpus,repeat_idx,n_kernels,n_memcpy,n_memset,n_cuda_events,model_seq_steps,model_fused_steps,outer_iters,kpi_table,kpi_census,ratio_census_over_model,wall_ms,top_kernels
apa_p4,adaptive,4096,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,4894.03,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
apa_p4,adaptive,16384,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,5020.28,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
lms,adaptive,256,1,default,A100 SXM4+RTX 4090,0,1401,0,0,1401,1400,0,200,7,7.005,1.0007,4783.06,"250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::unrolled_elementwise_kernel<at::native::CUD | 50x void at::native::vectorized_elementwise_kernel<(int)2, at::n"
lms,adaptive,1024,1,default,A100 SXM4+RTX 4090,0,1401,0,0,1401,1400,0,200,7,7.005,1.0007,4775.36,"250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::unrolled_elementwise_kernel<at::native::CUD | 50x void at::native::vectorized_elementwise_kernel<(int)2, at::n"
lms,adaptive,4096,1,default,A100 SXM4+RTX 4090,0,1401,0,0,1401,1400,0,200,7,7.005,1.0007,4714.75,"250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::unrolled_elementwise_kernel<at::native::CUD | 50x void at::native::vectorized_elementwise_kernel<(int)2, at::n"
lms,adaptive,16384,1,default,A100 SXM4+RTX 4090,0,1401,0,0,1401,1400,0,200,7,7.005,1.0007,4871.70,"250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::unrolled_elementwise_kernel<at::native::CUD | 50x void at::native::vectorized_elementwise_kernel<(int)2, at::n"
nlms,adaptive,256,1,default,A100 SXM4+RTX 4090,0,2401,0,0,2401,2200,0,200,11,12.005,1.0914,5011.07,"400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, void "
nlms,adaptive,1024,1,default,A100 SXM4+RTX 4090,0,2401,0,0,2401,2200,0,200,11,12.005,1.0914,5034.19,"400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
nlms,adaptive,4096,1,default,A100 SXM4+RTX 4090,0,2401,0,0,2401,2200,0,200,11,12.005,1.0914,5039.59,"400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, void "
nlms,adaptive,16384,1,default,A100 SXM4+RTX 4090,0,2401,0,0,2401,2200,0,200,11,12.005,1.0914,4836.01,"400x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 400x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, void "
