algorithm,category,N,cpu_energy_j,gpu_energy_batch_j,gpu_energy_per_sig_j,ratio,winner,cpu_time_us,cpu_delta_w,gpu_delta_w
ekf,estimation,256,0.04568124004170035,1.872057335535513,1.872057335535513,0.024401624445243266,CPU,3107.7376631444945,14.69919439579685,13.467051980198022
ekf,estimation,1024,0.04380595442484519,1.7545398927945124,1.7545398927945124,0.024967203427374927,CPU,3080.94645717851,14.21834330251948,13.733339999999998
ekf,estimation,4096,0.05170686083047658,1.7910764531939805,1.7910764531939805,0.028869153373251636,CPU,3095.676299505392,16.70292880387332,13.83895460199005
ekf,estimation,16384,0.05278565564212526,1.7511394997620493,1.7511394997620493,0.030143604007161026,CPU,3109.2951522686226,16.976727218582475,13.685187562189054
esprit,spectral,256,0.0007437817006295273,0.03569639838295011,6.971952809169944e-05,10.668197576599479,GPU,41.84651462526574,17.77404181184669,15.839905025125637
esprit,spectral,1024,0.0007888100310524975,0.01887121346139906,0.00943560673069953,0.08359929081041907,CPU,47.846451230129546,16.48628081649185,34.53354422110553
fastica,decomposition,256,0.06767854694751388,0.3776945446427842,0.3776945446427842,0.17918857422609286,CPU,3606.056885364156,18.768019778667295,23.98431155778895
fastica,decomposition,1024,0.10576959358217913,0.38653197766257313,0.38653197766257313,0.27363736946626377,CPU,5804.59164733218,18.221711363759994,26.563872222222223
fft,transform,256,6.0903715850030196e-05,0.0012744669671550307,6.222983238061673e-07,97.86900192422888,GPU,4.528108772393724,13.450144179693428,44.58417788944722
fft,transform,1024,0.0001663530727980712,0.005229888078655611,2.55365628840606e-06,65.14309445375885,GPU,9.54613124387822,17.426229385307348,109.88539447236177
fft,transform,4096,0.0004580037393467596,0.03155387638355481,1.540716620290762e-05,29.7266696104262,GPU,28.12307103886581,16.285694357981136,146.1290077889447
fft,transform,16384,0.0019843048856618127,0.20870294844745327,0.00010190573654660804,19.471964512559726,GPU,117.08245872848788,16.94792633509158,126.98706597088001
filterbank_32ch,filter,256,0.0017762994932133962,0.04705960269946014,2.2978321630595772e-05,77.30327400623737,GPU,127.88125015984585,13.890226213718595,148.84732663316586
filterbank_32ch,filter,1024,0.005482716655344817,0.17648052621610652,8.617213194145826e-05,63.625171291683316,GPU,322.775476082885,16.986162399577466,149.57175263819093
filterbank_32ch,filter,4096,0.018328182321005262,0.3408780659408002,0.0003328887362703127,55.057982815382466,GPU,1097.3025235900848,16.70294374339018,148.983285678392
filterbank_32ch,filter,16384,0.07586700757934968,0.17100489492813484,0.0013359757416260534,56.78771344082178,GPU,4131.354995871002,18.363710611935648,150.8878517587939
