algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
lms,adaptive,1024,1,fp32,663,10.009744644165039,76.58795,0.09668685277740861,78.910765,0.3627614364496317,2.3228149999999914,789.876607325716,23.25078500563613,0.035069057323734734,38.0,38,1095,15097.654063597345,200,40,39.0,5.005435228347778,False,NVIDIA A100-SXM4-40GB
lms,adaptive,4096,1,fp32,662,10.012904644012451,75.7658,0.08171633863555264,78.29013499999999,0.2960921592595781,2.5243349999999936,783.9116563218616,25.275925644543108,0.03818115656275394,36.575,37,1095,15125.233601227268,200,40,37.0,5.005557537078857,False,NVIDIA A100-SXM4-40GB
lms,adaptive,16384,1,fp32,662,10.009807109832764,75.201175,0.055323542683016466,77.90349999999998,0.21660457058889654,2.7023249999999734,779.7990081808565,27.04975199807856,0.040860652565073353,36.0,36,1095,15120.554546575171,200,40,36.0,5.005676031112671,False,NVIDIA A100-SXM4-40GB
nlms,adaptive,256,1,fp32,397,10.022350311279297,75.31410000000001,0.08130000000000023,78.18516000000001,0.2959177155899928,2.87106,783.5990626634217,28.77476908470154,0.07248052666171673,35.0,35,1095,25245.214889872284,200,40,35.0,5.005524635314941,False,NVIDIA A100-SXM4-40GB
nlms,adaptive,1024,1,fp32,396,10.002347230911255,75.29925,0.10696488909918084,78.06166,0.2966421824353382,2.7624100000000027,780.7998287413359,27.630584014141586,0.0697742020559131,35.0,35,1095,25258.45260331125,200,40,35.0,5.0055437088012695,False,NVIDIA A100-SXM4-40GB
nlms,adaptive,4096,1,fp32,398,10.007735013961792,75.08892499999999,0.10785647581392448,77.88264,0.3666775291724319,2.793715000000006,779.4288233077812,27.958759424530328,0.07024813925761389,35.0,35,1095,25145.062849150232,200,40,35.0,5.005470514297485,False,NVIDIA A100-SXM4-40GB
nlms,adaptive,16384,1,fp32,398,10.00053596496582,74.984975,0.12974079687978185,77.88866499999999,0.3591473970043494,2.9036899999999832,778.9283955956744,29.038456276111436,0.07296094541736542,34.03,35,1095,25126.974786346284,200,40,34.0,5.005686044692993,False,NVIDIA A100-SXM4-40GB
rls,adaptive,256,1,fp32,506,10.015380620956421,75.083425,0.17272317266365905,77.01073,0.2582432905227152,1.9273049999999898,771.2917728477072,19.30269314767231,0.038147614916348445,34.0,34,1095,19793.24233390597,200,40,34.0,5.005602598190308,False,NVIDIA A100-SXM4-40GB
rls,adaptive,1024,1,fp32,508,10.013554573059082,74.866175,0.03438159936652081,76.977695,0.2803771423903878,2.1115199999999987,770.8203497907972,21.1438207521057,0.04162169439390886,34.0,34,1095,19711.721600510005,200,40,34.0,5.0056679248809814,False,NVIDIA A100-SXM4-40GB
rls,adaptive,4096,1,fp32,508,10.01170015335083,74.96489999999999,0.038804510047159645,76.96643,0.20144643233375928,2.0015300000000167,770.564819033866,20.038718207936455,0.039446295684914284,34.0,34,1095,19708.071168013445,200,40,34.0,5.0055413246154785,False,NVIDIA A100-SXM4-40GB
rls,adaptive,16384,1,fp32,507,10.003839254379272,75.02345,0.1124579810418098,77.03138,0.25892113780068243,2.0079300000000018,770.6095430630064,20.08700895404579,0.039619347049399976,34.0,34,1095,19731.438371556753,200,40,34.0,5.005567789077759,False,NVIDIA A100-SXM4-40GB
