algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
nmf,decomposition,256,1,fp32,1399,10.00693130493164,75.388275,0.08153771749932671,97.49282499999998,4.45339132059771,22.10454999999999,975.6040024987219,221.19871337642658,0.1581120181389754,35.925,36,1398,7152.917301595168,200,40,35.0,5.005626201629639,False,NVIDIA A100-SXM4-40GB
nmf,decomposition,512,1,fp32,1388,10.006890773773193,75.09425,0.13347260954968007,98.398665,3.489955514440692,23.30441499999999,984.6646929400991,233.20473545168153,0.1680149390862259,35.945,36,1402,7209.575485427373,200,40,35.0,5.00568962097168,False,NVIDIA A100-SXM4-40GB
nmf,decomposition,1024,1,fp32,1338,10.005585670471191,75.22945,0.04170668411657282,99.85065,3.8349713229045155,24.6212,999.0642328272343,246.34952590980532,0.1841177323690623,35.95,36,1400,7478.01619616681,200,40,35.0,5.005580425262451,False,NVIDIA A100-SXM4-40GB
jpeg_q50,compression,4096,2048,fp32,10426,10.000544548034668,75.33420000000001,0.08729295504220248,230.06252,18.16837382402729,154.72832,2300.750480093117,1547.3674570025635,0.14841429666243655,44.71,47,1403,959.1928398268433,200,40,35.0,5.005663871765137,False,NVIDIA A100-SXM4-40GB
jpeg_q50,compression,16384,1024,fp32,5384,10.001075506210327,76.0313,0.08071994796826985,238.52101000000002,18.868253792015302,162.48971,2385.4666308275487,1625.0718586922194,0.30183355473481044,46.92,49,1403,1857.5548859974606,200,40,37.0,5.0056984424591064,False,NVIDIA A100-SXM4-40GB
mdct_audio,compression,4096,1,fp32,9707,10.000386953353882,76.195525,0.22453563052442213,79.00027,0.3468025765475234,2.804744999999997,790.0332694194341,28.048535305484503,0.0028895163598933247,37.16,38,1095,1030.2242663391246,200,40,38.0,6.006857633590698,False,NVIDIA A100-SXM4-40GB
mdct_audio,compression,16384,1,fp32,2298,10.003312587738037,75.83490000000002,0.042543977247080894,78.55812000000002,0.34669409513287064,2.7232199999999978,785.8414306650354,27.241220905179954,0.011854317191113992,36.0,36,1095,4353.051604759808,200,40,36.0,5.005654573440552,False,NVIDIA A100-SXM4-40GB
mdct_audio,compression,65536,1,fp32,1431,10.001418352127075,75.400825,0.10897107127581893,78.21755999999999,0.35203445342750234,2.816734999999994,782.2865400426006,28.1713451220786,0.019686474578671277,35.0,35,1095,6989.111357181743,200,40,35.0,5.00558614730835,False,NVIDIA A100-SXM4-40GB
cnn_denoiser,ml_enhanced,256,2048,fp32,8297,10.000573873519897,75.22595,0.07764436553929434,285.86186000000004,31.933044078515284,210.63591000000002,2858.782648551803,2106.4799783710887,0.2538845339726514,46.92,50,1400,1205.3240778016027,200,40,35.0,5.00578498840332,False,NVIDIA A100-SXM4-40GB
cnn_denoiser,ml_enhanced,1024,512,fp32,8313,10.000957012176514,76.44550000000001,0.08244361709677875,289.42203,26.426636025213273,212.97653,2894.4972804068616,2129.9691211325216,0.2562214749347434,49.41,52,1400,1203.0502841545187,200,40,38.0,5.005669832229614,False,NVIDIA A100-SXM4-40GB
cnn_denoiser,ml_enhanced,4096,128,fp32,8271,10.00018310546875,76.58914999999999,0.03855875386990758,289.604235,30.193599556028012,213.01508500000003,2896.095378119202,2130.18985422699,0.2575492509040007,50.395,53,1398,1209.0657847260004,200,40,39.0,7.008042335510254,False,NVIDIA A100-SXM4-40GB
cnn_denoiser,ml_enhanced,16384,32,fp32,8274,10.000241756439209,76.679,0.0,292.93087499999996,24.306801475705825,216.25187499999996,2929.379567925274,2162.5710302832717,0.26136947429094415,51.41,54,1403,1208.634488329612,200,40,40.0,6.006773233413696,False,NVIDIA A100-SXM4-40GB
lstm_denoiser,ml_enhanced,256,128,fp32,7381,10.001007795333862,77.09222500000001,0.12475686103377158,192.684955,14.808414770763783,115.59272999999999,1927.0437369985546,1156.0437938139223,0.15662427771493326,47.25,48,1398,1354.966507970988,200,40,41.0,6.005980730056763,False,NVIDIA A100-SXM4-40GB
lstm_denoiser,ml_enhanced,1024,1,fp32,4522,10.000694036483765,76.79639999999999,0.04933548418734956,102.03300000000002,3.3787662748405665,25.236600000000024,1020.4008146245482,252.3835151211264,0.05581236513072234,39.97,40,1403,2211.5643601246716,200,40,40.0,5.005603075027466,False,NVIDIA A100-SXM4-40GB
lstm_denoiser,ml_enhanced,4096,1,fp32,1215,10.00016474723816,75.8409,0.15819352072698964,101.362965,3.849191603931272,25.522064999999998,1013.6463492685353,255.22485468972084,0.21006160879812416,38.82,39,1403,8230.588269331818,200,40,38.0,5.005673170089722,False,NVIDIA A100-SXM4-40GB
lstm_denoiser,ml_enhanced,16384,1,fp32,311,10.022871017456055,75.5843,0.07510599177163094,101.24461194029851,3.876415519812793,25.660311940298513,1014.7616866900032,257.1899968452995,0.8269774818176833,37.89054726368159,38,1402,32227.881085067704,201,40,37.0,5.005608320236206,False,NVIDIA A100-SXM4-40GB
transformer_denoiser,ml_enhanced,256,64,fp32,7234,10.000718593597412,75.23610000000001,0.08130000000000023,215.84368999999998,19.630299121610445,140.60758999999996,2158.5920038936756,1406.1769397139212,0.1943844262806084,45.405,47,1398,1382.4604082938088,200,40,36.0,5.005666732788086,False,NVIDIA A100-SXM4-40GB
transformer_denoiser,ml_enhanced,1024,8,fp32,7201,10.000190258026123,75.66720000000001,0.051739346729543195,244.72446,24.801670016722664,169.05725999999999,2447.2911607927035,1690.6047645005892,0.23477360984593657,48.82,51,1397,1388.722435498698,200,40,38.0,5.0055787563323975,False,NVIDIA A100-SXM4-40GB
transformer_denoiser,ml_enhanced,4096,1,fp32,4553,10.001012325286865,76.15420000000002,0.023400000000000882,256.150665,24.954148758328245,179.996465,2561.765957795427,1800.146864973066,0.39537598615705377,50.75,53,1402,2196.576394747829,200,40,39.0,6.00674295425415,False,NVIDIA A100-SXM4-40GB
transformer_denoiser,ml_enhanced,16384,1,fp32,430,10.013953447341919,76.71645000000001,0.1614176183072976,343.2724099999999,36.39958029623281,266.5559599999999,3437.513933496868,2669.278974551534,6.20762552221287,56.89,60,1400,23288.263831027718,200,40,40.0,7.007985830307007,False,NVIDIA A100-SXM4-40GB
