algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
hilbert,transform,256,2048,fp32,159022,10.000947952270508,4.835275,0.014223198479948216,76.097702020202,25.562266950993102,71.262427020202,761.0491571914304,712.6918235815157,0.004481718401111266,54.888888888888886,56,2184,62.89034191665623,198,40,50.0,10.010976076126099,False
hilbert,transform,1024,2048,fp32,80195,10.007652759552002,4.785875,0.004512136411944928,146.988391959799,51.749413604010336,142.202516959799,1471.008786418594,1423.1134112679729,0.017745662588290703,59.10552763819096,63,2149,124.7914802612632,199,40,48.0,8.007222890853882,False
hilbert,transform,4096,2048,fp32,9651,10.001121997833252,4.83275,0.001984313483298518,128.43655778894475,46.455416165188225,123.60380778894475,1284.509683428997,1236.1767610939685,0.12808794540399632,56.80904522613066,60,2121,1036.2783129036632,199,40,49.0,9.008458852767944,False
hilbert,transform,16384,512,fp32,9045,10.000343084335327,7.081999999999999,1.7679999999999998,131.21790452261308,43.802074871530756,124.13590452261309,1312.224064033687,1241.4016343104242,0.13724727853072682,58.20100502512563,61,2185,1105.621125962999,199,40,50.0,6.003555059432983,False
fir_direct,filter,256,2048,fp32,193369,10.000703811645508,5.021775000000001,0.017947823684224113,117.66433668341706,41.47780281662331,112.64256168341706,1176.7261803645893,1126.5048959808632,0.005825674725425809,62.231155778894475,66,2206,51.7182372130254,199,40,51.0,8.0034019947052,False
fir_direct,filter,1024,2048,fp32,64731,10.002397298812866,4.86625,0.009350802104632357,141.54440201005025,49.39534805644436,136.67815201005024,1415.783344327409,1367.1091784720609,0.02111985259724183,64.76884422110552,69,2156,154.5225208758225,199,40,50.0,10.006482362747192,False
fir_direct,filter,4096,2048,fp32,18141,10.002503395080566,4.8252749999999995,0.0017173744495595784,152.74994974874366,52.09247090648709,147.92467474874366,1527.8818909601944,1479.617061390497,0.08156204516787922,64.34673366834171,68,1985,551.3755247825679,199,40,49.0,10.011762619018555,False
fir_direct,filter,16384,2048,fp32,4400,10.00421142578125,4.825,0.03766297917053287,153.14926130653262,52.146324595855674,148.32426130653263,1532.137589812772,1483.8672696833776,0.33724256129167673,63.80904522613066,67,1876,2273.684414950284,199,40,50.0,9.008569478988647,False
fir_fft,filter,256,2048,fp32,89224,10.001702070236206,5.0419,0.010168087332433936,85.10457788944724,27.54530535459907,80.06267788944724,851.190632863463,800.763051195539,0.00897474952025844,56.25125628140704,59,2216,112.09654431807816,199,40,50.0,9.006134986877441,False
fir_fft,filter,1024,2048,fp32,34409,10.003392934799194,4.901999999999999,0.02300000000000013,150.02063819095474,48.93554753296939,145.11863819095475,1500.7153921534627,1451.6787599870772,0.04218892615266579,59.517587939698494,63,2072,290.7202457147605,199,40,49.0,7.006946325302124,False
fir_fft,filter,4096,1024,fp32,9052,10.003539800643921,4.8689,0.012778497564267756,128.57502010050248,45.34375655026883,123.70612010050249,1286.2053309439686,1237.4990960086136,0.13671001944416855,57.72361809045226,61,2143,1105.1192886261513,199,40,50.0,9.005549907684326,False
fir_fft,filter,16384,256,fp32,6934,10.008137702941895,4.942925000000001,0.03931118638504818,128.59891959798998,45.261288716018036,123.65599459798997,1287.0356957862368,1237.5662217309227,0.178477966791307,57.52261306532663,60,2144,1443.342616518877,199,40,50.0,8.005086183547974,False
